member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
BR0356,P021221,X011221405,0.3 Wind -X + Wind Y,-205.087216833291,-2749261.1067044,15387.1380092042,1.37525437161139
CO0042,P011322,P021322,0.3 Wind X + Wind -Y,-35671.9441795929,-4776087.73252318,14634301.5158618,0.844406259345426
BE0071,P011322,P011323,Wind -X + 0.3 Wind -Y,25883.1349885386,0,190121.232952803,0.0228191247116252
BR0357,P011322,X011322469,1.2D+1.6L,-27466.743571908,-2489905.1457809,19184.7303449578,0.588424244717929
BR0358,P021323,X011322469,1.2D+1.6L,-27216.5176371888,-2482773.44139259,-26617.4678482456,1.67338187309636
BR0359,P011322,X011321463,1.2D+1.6L,-3127.33501338158,-1101814.14285121,14928.2190167042,0.233490881179772
BR0360,P021321,X011321463,1.2D+1.6L,-2836.66732303899,-1089098.02066679,-40288.2547242554,0.313051661076766
BR0361,P011322,X011222420,1.2D+1.6L,-3099.6451847329,-613789.071821496,17592.0734237853,0.196476134206507
BR0362,P021222,X011222420,1.2D+1.6L,-2805.38559896362,-606053.028334267,-27534.6724968193,0.131962696063227
CO0043,P011323,P021323,0.3 Wind X + Wind Y,-53192.5257174957,-4674912.1507389,-16992982.979924,0.768072722304098
BE0072,P011323,P011324,Wind -X + 0.3 Wind -Y,23325.0430743868,0,190123.131573062,0.0211514469722391
BR0363,P011323,X011322469,1.2D+1.6L,2631.0592021612,-2696951.43740881,27271.4507502607,1.30975500602087
BR0364,P021322,X011322469,1.2D+1.6L,2903.98879631864,-2689537.11510739,16887.8262716605,0.554839070228667
BR0365,P011323,X011223435,1.2D+1.6L,-5559.2160798874,-2603674.35523711,23506.7898316985,1.32902980516476
BR0366,P021223,X011223435,1.2D+1.6L,-5264.30489369196,-2588541.88565449,-28684.9733459654,0.543245351468501
BR0367,P011324,X011324481,1.2D+1.6L,-21921.8844987507,-108.222790984569,88422.6030518741,0.360192062351615
BR0368,P021323,X011324481,1.2D+1.6L,-21796.8189894157,109.446742295128,88438.7801698835,0.360195187792692
BR0373,P021118,X021118492,Wind X + 0.3 Wind -Y,3934.49996511485,186264.766859218,373046.301120965,0.0943507085511025
BR0374,P021219,X021118492,Wind -X + 0.3 Wind Y,-5652.47301893846,16222.5359917985,304439.464540908,0.0788666398377536
CO0044,P021119,P031119,0.3 Wind X + Wind -Y,-16015.7637524916,-4432436.81799142,14984795.8216971,0.825283130303024
BR0375,P021119,X021119497,0.3 Wind X + Wind -Y,-4526.47085933075,-3437067.6276939,49335.0017589393,0.713754166948169
BR0376,P031120,X021119497,0.3 Wind -X + Wind -Y,6252.30098967031,-959459.013546491,-151843.629956183,0.883132998098885
