member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
BR0061,P050000,P060001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0062,P060000,P050001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0063,P050001,P060002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0064,P060001,P050002,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0065,P050002,P060003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0066,P060002,P050003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0067,P050003,P060004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0068,P060003,P050004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0069,P050004,P060005,HSS139.7X139.7X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0070,P060004,P050005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0071,P050005,P060006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0072,P060005,P050006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0073,P060000,P070001,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0074,P070000,P060001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0075,P060001,P070002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0076,P070001,P060002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0077,P060002,P070003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0078,P070002,P060003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0079,P060003,P070004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0080,P070003,P060004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0081,P060004,P070005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0082,P070004,P060005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0083,P060005,P070006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0084,P070005,P060006,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0085,P070000,P080001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0086,P080000,P070001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0087,P070001,P080002,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0088,P080001,P070002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0089,P070002,P080003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0090,P080002,P070003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0091,P070003,P080004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0092,P080003,P070004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0093,P070004,P080005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0094,P080004,P070005,HSS127X127X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0095,P070005,P080006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0096,P080005,P070006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0097,P080000,P090001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0098,P090000,P080001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0099,P080001,P090002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0100,P090001,P080002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0101,P080002,P090003,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0102,P090002,P080003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0103,P080003,P090004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0104,P090003,P080004,HSS114.3X114.3X4.8,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0105,P080004,P090005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0106,P090004,P080005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
